cve,severity,package,installed_version,fixed_version_in_scan,images,image_package_records,assessment_status
CVE-2013-7445,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2019-19449,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2019-19814,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2021-3847,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2021-3864,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2024-21803,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2024-58015,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-22104,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-38137,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-38187,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-38204,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-38206,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-38421,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-38636,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-39859,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-39862,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-39958,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-40025,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-68174,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-68735,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2025-69720,HIGH,libncursesw6,6.5+20250216-2,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2025-69720,HIGH,libtinfo6,6.5+20250216-2,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
